Title,Title_URL,Image,Tag_URL,Tag,jsteaserstandfirstlink,jsteaserstandfirstlink1,Time
Smith & Nephew grants CEO 30% pay rise despite shareholder revolt,https://www.ft.com/content/60f4a5b8-4fa9-4170-bf06-712073fadca2,,https://www.ft.com/executive-pay,Executive Pay,"...The medical devices company is the latest FTSE company to withstand a shareholder revolt on large hikes to chief executive pay, after AstraZeneca, the London Stock Exchange Group and Ocado all faced down...",AstraZeneca,"MAY 1, 2024"
GSK pushes back on FTC ‘junk patents’ claim as it raises profit outlook,https://www.ft.com/content/3910ca6e-074d-4f25-a43a-a994fd5495d3,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...GSK, AstraZeneca, Novo Nordisk and Novartis were among 10 companies to receive letters from the FTC on Tuesday informing them that the agency had disputed a number of patents with the Food and Drug Administration...",AstraZeneca,"MAY 1, 2024"
"Europe falling behind US and China in pharma innovation, warns AstraZeneca chief",https://www.ft.com/content/2c0d4917-f837-4aad-be54-6a727800c3e4,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...Soriot said on Thursday that AstraZeneca’s deal activity would continue but “at a slower pace”....,AstraZeneca’s,"APRIL 25, 2024"
Ex-Smiths chief set for pay bump after quitting UK conglomerate for smaller US group,https://www.ft.com/content/6fec80ac-dee5-41e2-ad6b-3e4781582631,,https://www.ft.com/executive-pay,Executive Pay,...London Stock Exchange Group and Smith & Nephew are among the FTSE 100 companies hoping to follow AstraZeneca by pushing through pay increases for their executives at upcoming annual meetings....,AstraZeneca,"APRIL 22, 2024"
"Proxy advisers inflict ‘serious harm’ to UK, says AstraZeneca chair",https://www.ft.com/content/838177cd-af87-4b86-ac47-ecfc45665020,,https://www.ft.com/executive-pay,Executive Pay,...AstraZeneca has a market capitalisation of £171bn....,AstraZeneca,"APRIL 14, 2024"
AstraZeneca chair: UK business needs a level playing field to compete,https://www.ft.com/content/86524f70-b121-4432-9403-94cd1c26f266,,https://www.ft.com/stream/6c5dce72-0fdd-4261-aed6-15c6f01c1f52,Michel Demaré,"...The writer is chair of AstraZeneca

The AGM season is in full swing, and with it comes the usual set of controversies around remuneration....",AstraZeneca,"APRIL 14, 2024"
AstraZeneca shareholders approve CEO Soriot’s £18.7mn pay despite revolt,https://www.ft.com/content/5b88670f-1e29-45f5-b6d7-6c0157bcd427,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...“Some of our loyal shareholders do expect cash dividends as an important part of total returns,” said AstraZeneca chair Michel Demaré at the AGM....",AstraZeneca,"APRIL 11, 2024"
Smith & Nephew investors urged to oppose ‘excessive’ pay rise for boss,https://www.ft.com/content/d68cdcb8-f05f-4703-ac04-831340665d90,,https://www.ft.com/executive-pay,Executive Pay,...Companies including the London Stock Exchange Group and AstraZeneca are proposing pay increases for their bosses against a backdrop of concerns about the UK’s international competitiveness....,AstraZeneca,"APRIL 11, 2024"
Shell has a London problem,https://www.ft.com/content/f4ff7170-d1e1-47ef-90b2-466b6addaeca,,https://www.ft.com/due-diligence,Due Diligence,"...groups consider overseas headquarters to hedge against Chinese attack (FT)

HSBC to take $1bn hit on sale of Argentina unit (FT)

European ports turned into ‘car parks’ as vehicle imports pile up (FT)

AstraZeneca...",AstraZeneca,"APRIL 10, 2024"
"AstraZeneca’s Soriot ‘massively underpaid’ at £16.9mn, says top shareholder",https://www.ft.com/content/c7226781-b45b-4502-ba38-129dea5e960e,,https://www.ft.com/executive-pay,Executive Pay,"...Emma Walmsley, chief executive of AstraZeneca’s British rival GSK, earned £12.7mn in 2023....",AstraZeneca’s,"APRIL 9, 2024"
"A decade after Pfizer, AstraZeneca needs to find its growth again",https://www.ft.com/content/dace7169-67d0-4d11-b2fa-e3b013bc82c1,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca is starting its next 10-year cycle from a very different place....,AstraZeneca,"APRIL 1, 2024"
AstraZeneca shareholders urged to oppose pay plan for CEO Soriot,https://www.ft.com/content/6c0fa244-2096-4490-996b-8ee1ce2240df,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...Since taking the helm in 2012, Soriot has turned AstraZeneca into the second-largest company on the FTSE 100 index behind Shell....",AstraZeneca,"MARCH 30, 2024"
AstraZeneca strikes $2.4bn deal for radiotherapy biotech Fusion,https://www.ft.com/content/cf6b8ab8-03ef-43fa-9523-9c7d026830c5,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...Shares in AstraZeneca dipped 1.1 per cent in morning trading....,AstraZeneca,"MARCH 19, 2024"
How Britain’s biggest aquarium chain keeps its animal records under wraps ,https://www.ft.com/content/8eb474b1-e1c3-4e8f-b4fb-b4ee8e53f052,,https://www.ft.com/stream/5be5d956-f0da-45f8-98a3-be58897aea5f,Merlin Entertainments PLC,"...a bid to gain good publicity for its penguins, the company has named them after public figures, including tennis player Emma Raducanu, diver Tom Daley and Dame Sarah Gilbert, who led development of the AstraZeneca...",AstraZeneca,"MARCH 12, 2024"
UK boards and investors push for higher CEO pay to bridge gap with US,https://www.ft.com/content/e3599807-bfb0-4ad6-9db0-99fbba67677f,,https://www.ft.com/executive-pay,Executive Pay,"...UK bank HSBC, pharmaceutical company AstraZeneca, consumer group Unilever and publisher Pearson are among those that have raised their leaders’ pay or are lobbying investors for support to do so....",AstraZeneca,"MARCH 2, 2024"
Europe’s ‘Granolas’ fuel record stock market surge,https://www.ft.com/content/b87e7bd6-b2be-43ca-bf03-a221383a8a92,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Febcc1b61-3e65-4780-8406-2dbab99db77d.jpg?source=next&fit=scale-down&dpr=2&width=240,https://www.ft.com/european-equities,European equities,"...crunchy acronym was coined by Goldman Sachs for pharma companies GSK and Roche, Dutch chip company ASML, Switzerland’s Nestlé and Novartis, Danish drugmaker Novo Nordisk, France’s L’Oréal and LVMH, the UK’s AstraZeneca...",AstraZeneca,"FEBRUARY 23, 2024"
AstraZeneca unveils successes in treatment of lung cancer,https://www.ft.com/content/b845e8ab-9cbc-482c-aa22-0b5c020be099,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...These data reinforce that message,” said Susan Galbraith, executive vice-president of oncology R&D at AstraZeneca....",AstraZeneca,"FEBRUARY 19, 2024"
New drug launches weigh on AstraZeneca profits,https://www.ft.com/content/65338772-1fff-4fec-bb6b-ab63a2d1930a,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca’s jab developed with Oxford university was widely used across the world, but sales fell more than 99 per cent to just $12mn in 2023....",AstraZeneca’s,"FEBRUARY 8, 2024"
"AstraZeneca wrongfully dismissed senior scientist, tribunal finds",https://www.ft.com/content/dc71612d-3408-4de8-b8f0-6b117c792f28,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...Muir had worked at AstraZeneca, which has more than 8,700 employees in the UK, since 1998....",AstraZeneca,"JANUARY 31, 2024"
GSK’s new RSV jab set to achieve blockbuster status,https://www.ft.com/content/c8f907b7-c263-4345-9cc5-f951a6a93088,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...While rival AstraZeneca’s share price has soared almost 90 per cent over the past 5 years, GSK’s stands only 3 per cent higher....",AstraZeneca’s,"JANUARY 29, 2024"
UK government eyes AstraZeneca factory expansion deal,https://www.ft.com/content/d9916629-af1e-421e-a9fd-faa3ea767beb,,https://www.ft.com/uk-manufacturing,UK manufacturing,"...Late last year, AstraZeneca agreed to buy its first vaccine company, Icosovax, in a deal worth up to $1.1bn....",AstraZeneca,"JANUARY 24, 2024"
GSK agrees to buy respiratory medicine specialist Aiolos Bio for $1.4bn,https://www.ft.com/content/54103851-a3fe-4468-81ac-5d3717713914,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...The £64bn company has long lagged behind £168bn Anglo-Swedish rival AstraZeneca, with investors raising questions over GSK’s pipeline of products and its growth plans....",AstraZeneca,"JANUARY 9, 2024"
AstraZeneca set to make one of its first acquisitions in China,https://www.ft.com/content/42ab62e9-f9b7-48f0-ac72-a9caf925a65d,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...In August, AstraZeneca signed a deal with China’s CanSino Biologics for the production of its potential mRNA vaccines....",AstraZeneca,"DECEMBER 26, 2023"
GSK on hunt for drug deals in China,https://www.ft.com/content/fbeb83e5-1880-4a9a-92fe-f57032760338,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...Shares in GSK have fallen 5 per cent in the past five years, while many of its European rivals including Novo Nordisk, AstraZeneca and Novartis have soared....",AstraZeneca,"DECEMBER 17, 2023"
AstraZeneca strikes $1bn deal to acquire its first vaccine company,https://www.ft.com/content/1ededcba-dd40-455e-8fe0-fc3084389184,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...The deal is expected to close in the first quarter of next year, AstraZeneca said....",AstraZeneca,"DECEMBER 12, 2023"
AstraZeneca ties up with AI biologics company to develop cancer drug,https://www.ft.com/content/3d8a0ec6-5b04-486f-af2b-15de1486ffaf,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...The agreement is part of AstraZeneca’s ambitious plans to replace traditional chemotherapy with a new generation of targeted drugs....,AstraZeneca’s,"DECEMBER 3, 2023"
Directors’ Deals: Strategy refresh spurs Unilever directors,https://www.ft.com/content/36f7c1d2-c04e-4454-a86b-5e6ab026b8ed,,https://www.ft.com/investments,Investments,"...AstraZeneca chair sees past vaccine headwinds

Michel Demaré, non-executive chair of the AstraZeneca board, appears bullish about the company’s prospects....",AstraZeneca,"DECEMBER 1, 2023"
AstraZeneca fights accusations its Covid-19 jab was ‘defective’,https://www.ft.com/content/e605325b-00c0-4c94-aa45-551076d52785,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca updated the label to warn recipients of the concern on April 7 and April 15....,AstraZeneca,"NOVEMBER 22, 2023"
AstraZeneca signs deal for oral obesity drug and lifts profit outlook,https://www.ft.com/content/c96bafc8-0ba9-4a24-9239-c5d5ee0d5051,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...Shares in AstraZeneca climbed 3 per cent on Thursday, having lost 9.2 per cent in the year to date period....",AstraZeneca,"NOVEMBER 9, 2023"
AstraZeneca hails ‘clinically meaningful’ cancer drug trial results,https://www.ft.com/content/0cb609da-f6b0-4d79-aa84-c972dd60b34e,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...Galbraith did not comment on whether AstraZeneca had bid to partner on the next drugs in the pipeline....,AstraZeneca,"OCTOBER 23, 2023"
GSK signs £2.5bn shingles vaccine deal with China’s Zhifei,https://www.ft.com/content/fcf72c1d-b26f-45b4-b4c7-98cae0ea94df,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...While AstraZeneca has built its brand in China and has a large unit that has deep roots beyond Beijing and Shanghai, GSK has had to navigate a trickier path since a corruption scandal in 2015....",AstraZeneca,"OCTOBER 9, 2023"
Ikea and BT among 130 companies to push COP28 for a timeline to ditch fossil fuels,https://www.ft.com/content/653560ff-6706-4e18-a7c0-36b8f6b8f282,,https://www.ft.com/stream/a4c60784-ec51-4e77-8814-93c1b8af82c7,COP28,"...Signatories to the letter also include AstraZeneca, BT Group, Nestlé, Unilever, Bayer, Ørsted, Iberdrola and Vodafone....",AstraZeneca,"OCTOBER 23, 2023"
AstraZeneca settles heartburn drug lawsuits for $425mn,https://www.ft.com/content/b430c9ca-9c48-46ff-afd7-f63e8b501f0c,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca shares are down about 4.5 per cent in the year so far....,AstraZeneca,"OCTOBER 3, 2023"
Oxford BioMedica shares soar as vaccine maker raises earnings guidance,https://www.ft.com/content/c4fb01d6-47c1-405f-88e8-5dca41bf71d0,,https://www.ft.com/stream/3e1788b4-0333-4616-9203-5b84eaf49e80,Oxford BioMedica PLC,...The AstraZeneca vaccine has fallen far behind its mRNA rivals from BioNTech/Pfizer and Moderna....,AstraZeneca,"SEPTEMBER 20, 2023"
AstraZeneca sues US government over drug price reforms,https://www.ft.com/content/1be1ec43-7464-4cab-998f-06db633e2b87,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca bought a rare disease business when it acquired Alexion in a $39bn deal in 2020....,AstraZeneca,"AUGUST 25, 2023"
"If the UK stock market is cheap, why doesn’t it go up?",https://www.ft.com/content/726a6188-f04c-40e4-b7d1-a055d75e772c,,https://www.ft.com/investments,Investments,...A Morgan Stanley analysis published last month found that core UK plc assets — equities and corporate bonds — “are arguably the cheapest asset classes in the world”....,plc,"AUGUST 25, 2023"
AstraZeneca signs vaccine deal with China’s CanSino,https://www.ft.com/content/89a2e92b-6771-44fe-8958-b4b21f8bbe3d,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca said at the time it did “not comment on rumours or speculations around future strategy or M&A”....,AstraZeneca,"AUGUST 9, 2023"
AstraZeneca beats estimates with strong cancer and diabetes drug sales,https://www.ft.com/content/430604de-be9a-4296-a8d9-aaa5702ed1b3,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...Shares in AstraZeneca rose 4 per cent to £111.54 in morning trading in London....,AstraZeneca,"JULY 28, 2023"
AstraZeneca shares fall after cancer drug trial disappoints investors,https://www.ft.com/content/5eb6f262-4841-4f77-bed9-bd80269a08a4,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...Shares in AstraZeneca were down 5 per cent to £107.41 in early trading in London....,AstraZeneca,"JULY 3, 2023"
What is happening with Abramovich’s frozen cash?,https://www.ft.com/content/56a2c5dc-fb63-4b33-a64a-30c290e24492,,https://www.ft.com/due-diligence,Due Diligence,"...News round-up

SVB Financial to sell investment banking unit to management team (FT)

PwC, KPMG drawn deeper into Brazilian retailer’s accounting scandal (FT)

AstraZeneca drafts plan to spin off China business...",AstraZeneca,"JUNE 20, 2023"
AstraZeneca/China: break-up deal would reflect necessity not choice,https://www.ft.com/content/92092f54-62e0-4c32-82a8-c11bffe43d56,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F83ce6e3f-adff-4629-a388-c33bc9c3973f.jpg?source=next&fit=scale-down&dpr=2&width=240,https://www.ft.com/pharmaceuticals,Pharmaceuticals sector,"...As tensions heighten between the US and China, AstraZeneca may offer its own twist by carving out its Chinese business....",AstraZeneca,"JUNE 19, 2023"
AstraZeneca could spin off China business,https://www.ft.com/content/cbedb2a1-10b1-40ba-8ac0-157419a75f19,,https://www.ft.com/ft-news-briefing,FT News Briefing podcast,"...AstraZeneca has drawn up plans to break out its China business, and France is challenging a German-led plan to build up Europe’s air defences....",AstraZeneca,"JUNE 19, 2023"
AstraZeneca drafts plan to spin off China business amid tensions,https://www.ft.com/content/d195f3d0-0101-414e-b190-9691e6c5661d,,https://www.ft.com/chinese-business-finance,Chinese business & finance,...AstraZeneca has also said it is interested in doing deals with Chinese biotechs....,AstraZeneca,"JUNE 18, 2023"
AstraZeneca defies geopolitics to bet on China,https://www.ft.com/content/4f9c5b6a-203a-49ed-8be7-2fd41de1fcd7,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca declined to comment on Wang’s statement....,AstraZeneca,"JUNE 4, 2023"
Veteran UK stockpicker Richard Buxton bows out of Jupiter,https://www.ft.com/content/6b776477-9ae1-4bf6-8d6b-2b760e639db2,,https://www.ft.com/stream/34a6c3e7-5a92-4087-89c4-c08a5ad0e3dc,Richard Buxton,"...Top holdings in his Jupiter UK Alpha fund, which manages £585mn, include pharmaceutical company AstraZeneca, power generation business Drax, natural resources group Glencore and Lloyds Banking Group....",AstraZeneca,"JUNE 2, 2023"
Directors’ Deals: AstraZeneca chair bets on upward momentum,https://www.ft.com/content/e82ca397-194d-4019-8414-eb7d7e878ab7,,https://www.ft.com/investments,Investments,...AstraZeneca is the jewel in the FTSE 100’s crown. The pharmaceutical group now has a market capitalisation of £182bn....,AstraZeneca,"MAY 12, 2023"
Europe’s energy majors have a black box problem,https://www.ft.com/content/6e45306d-17cd-4f60-b62d-b6f147df9612,,https://www.ft.com/david-sheppard,David Sheppard,"...Shell’s estimated earnings from trading in 2022 were even larger than the ebitda in the year to March 31 of AstraZeneca, the only company with a bigger market capitalisation in the FTSE 100....",AstraZeneca,"MAY 11, 2023"
AstraZeneca chair says it is paying CEO enough to ward off US rivals,https://www.ft.com/content/fb9f6c33-c745-468b-bb21-cd253b448e44,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca also has a secondary listing in New York....,AstraZeneca,"MAY 4, 2023"
GSK struggles to make investors believe its growth story ,https://www.ft.com/content/a0bd6cba-fef4-4186-9a48-cc5dc6a322f4,,https://www.ft.com/pharmaceuticals,Pharmaceuticals sector,...GSK shares are down 3 per cent over the past five years while AstraZeneca’s have soared more than 125 per cent....,AstraZeneca’s,"APRIL 30, 2023"
AstraZeneca hunts for more China deals after signing partnerships,https://www.ft.com/content/bbd528e9-610d-432e-9fd6-3157ca850992,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca is the largest foreign pharmaceutical company by sales in China....,AstraZeneca,"APRIL 27, 2023"
GSK sales fall after demand for Covid treatment plummets ,https://www.ft.com/content/f20ae6ec-8207-4709-9bf9-99613c76980e,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...Roche shares fell 1.3 per cent in early trading, while AstraZeneca was down 1.7 per cent by mid-morning....",AstraZeneca,"APRIL 26, 2023"
GSK/Bellus Health: biotech M&A is picking up,https://www.ft.com/content/061f7beb-a7d9-44f3-92a3-dbce489d2686,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...AstraZeneca may end up paying more than a 200 per cent premium for blood pressure biotech CinCor agreed in January.

Bargains are rare. Premia averaged 125 per cent for seven $1bn plus deals this year....",AstraZeneca,"APRIL 18, 2023"
Rolls-Royce closes AI start-up after talks with buyers collapse,https://www.ft.com/content/bc175349-57f2-4473-b3a6-e41ff8974f6b,,https://www.ft.com/uk-companies,UK companies,"...Recent clients included pharmaceutical group AstraZeneca, which wanted to improve its data analytics and artificial intelligence capabilities in its factory processes....",AstraZeneca,"MARCH 17, 2023"
AstraZeneca chief says industry should not pay for NHS Covid costs,https://www.ft.com/content/70a9188d-2efa-49cf-bbb3-da3f28857ba6,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...He also blamed a “discouraging tax rate” for AstraZeneca’s decision to build a $360mn factory in Ireland rather than the UK....,AstraZeneca’s,"FEBRUARY 9, 2023"
RQ Bio partners with AstraZeneca in Covid antibody fight,https://www.ft.com/content/af9174df-2d5d-4452-ba91-bf1ab1714f1a,,https://www.ft.com/drugs-research,Drugs research,"...“This is a really good model because we suddenly boosted the economy, freed up money from AstraZeneca and invested in employing people . . . if we can bottle this and do it across UK plc it would be amazing...",AstraZeneca,"JANUARY 29, 2023"
"UK/FTSE 100: elated, decorrelated and just a bit inflated",https://www.ft.com/content/e8fd5a3c-4458-43c5-ae17-14d481ad6acf,,https://www.ft.com/stream/fb9dbfea-969b-4e54-893f-ff148c57573c,FTSE 100,"...For example, AstraZeneca, the UK’s largest pharma group, made less than a tenth of its revenues in the UK in 2021....",AstraZeneca,"JANUARY 18, 2023"
AstraZeneca/CinCor: deal may herald start of biotech buying spree,https://www.ft.com/content/dac6a209-ebf6-4676-8493-3f4b563b5514,,https://www.ft.com/pharmaceuticals,Pharmaceuticals sector,"...But AstraZeneca has built some buffer into the price. It is paying $1.3bn upfront, or roughly $800mn excluding the cash on CinCor’s balance sheet....",AstraZeneca,"JANUARY 9, 2023"
AstraZeneca to buy US biotech CinCor in $1.8bn deal,https://www.ft.com/content/9ee6ff98-81df-4c7e-a779-76de108fc6c2,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca said baxdrostat could also be combined with Farxiga, its drug for chronic kidney disease....",AstraZeneca,"JANUARY 9, 2023"
A pharma partnership that brought a breakthrough in breast cancer,https://www.ft.com/content/37edd17b-145c-42ef-a725-c16c4f8861b0,,https://www.ft.com/drugs-research,Drugs research,"...In his first week at AstraZeneca, he pushed the idea that AstraZeneca should have a partnership with Daiichi....",AstraZeneca,"JANUARY 6, 2023"
CEO resolutions: ways for GSK’s Walmsley to warm up investors,https://www.ft.com/content/0b806af5-3fd9-456b-8f68-a8385bd5b662,,https://www.ft.com/stream/1ff9508f-e522-4acc-aeb6-fa319c914a97,Emma Walmsley,...It is late to the party in growth areas of oncology and immunotherapy — where rival AstraZeneca delivers hit after hit....,AstraZeneca,"DECEMBER 30, 2022"
GSK on hunt for attractive biotechs ‘hiding in plain sight’ ,https://www.ft.com/content/16017258-368d-49eb-8555-4603a63b6726,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...Miels said these hires boosted GSK’s capability, especially in oncology, where AstraZeneca has far outperformed the company....",AstraZeneca,"DECEMBER 30, 2022"
GSK/Zantac: heartburn treatment avoids legal remedies,https://www.ft.com/content/f3b7ffea-938a-460e-bd8d-523094deedf4,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...That is about half the multiple of AstraZeneca, which is admittedly growing faster. GSK looks mispriced for a company committed to more than 10 per cent annual profit growth through 2026....",AstraZeneca,"DECEMBER 7, 2022"
AstraZeneca drops submission to US regulators for Covid-19 vaccine approval,https://www.ft.com/content/85bec048-f0b8-4170-927a-5461cd02070a,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca distributed the vaccine on a non-profit basis during the pandemic, and sold 3bn doses....",AstraZeneca,"NOVEMBER 10, 2022"
GSK: Zantac liabilities overshadow turnround efforts,https://www.ft.com/content/d44bcbdb-8e2f-4e51-b90b-2dde0501655a,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...The gap with rival AstraZeneca, which has a leading immunotherapy portfolio, is growing wider. Despite strength in vaccines, GSK was nowhere in the fight against Covid....",AstraZeneca,"NOVEMBER 2, 2022"
