Like,ml2,Like1
"AstraZeneca's new 2030 targets are bold attempt to reach for the stars, say analysts",21 May 2024,"Proactive Investors - After AstraZeneca PLC (LON:AZN) unveiled new sales and profit targets for the end of the decade, analysts were mildly impressed by the ambition to ""shoot for..."
"Blue-chips fall out of bed, Pennon hits water companies, AstraZeneca rises",21 May 2024,Proactive Investors - FTSE 100 falls 22 points to 8402  Pennon  leads water companies lower AstraZeneca (NASDAQ:AZN) sets new targets for decade Water companies weigh After almost...
AstraZeneca to invest $1.5 billion in Singapore ADC facility,20 May 2024,"SINGAPORE - AstraZeneca PLC (LSE/STO/NASDAQ: LON:AZN), a global biopharmaceutical company, has announced plans to invest $1.5 billion in constructing a new manufacturing facility..."
AstraZeneca lays out plans for $1.5bn Singapore plant,20 May 2024,Proactive Investors - AstraZeneca PLC (LON:AZN) has unveiled plans to build a US$1.5 billion (£1.2 billion) production plant in Singapore. This will be used to manufacture...
"Microsoft, Amazon and AstraZeneca invest billions in France",13 May 2024,Proactive Investors -  Microsoft Corp  (NASDAQ:MSFT) said it will join a string of mega-cap companies in investing billions into the French economy after it pledged fresh...
Astrazeneca receives Investment Bank Analyst Rating Update,08 May 2024,
Astrazeneca receives Investment Bank Analyst Rating Update,07 May 2024,
AstraZeneca to present respiratory disease research at ATS 2024,01 May 2024,SAN DIEGO - AstraZeneca (NASDAQ:AZN) is set to present new clinical and real-world data on its respiratory and immune-mediated disease treatments at the upcoming American Thoracic...
AstraZeneca tells court Covid vaccine can cause rare side effect,29 Apr 2024,Proactive Investors - AstraZeneca PLC (LON:AZN) has admitted in court that its Covid-19 vaccine can cause a rare side effect. A legal document submitted to London’s High...
Astrazeneca receives Investment Bank Analyst Rating Update,28 Apr 2024,
"AstraZeneca shares worth £135, says investment bank",26 Apr 2024,Proactive Investors -  Barclays  (LON:BARC) has raised its price target for shares in AstraZeneca PLC (LON:AZN) after Thursday's significantly better-than-expected first-quarter...
"FTSE 100 Live: Stocks to smash new record, Anglo American rejects BHP bid, NatWest reports",26 Apr 2024,"Proactive Investors - London-listed miner Anglo American (JO:AGLJ) has rejected a surprise advance from Australian mining megacap BHP. In a statement, Anglo’s board said the..."
"FTSE 100 hits record high on BHP bid for Anglo American, earnings push",25 Apr 2024," By Pranav Kashyap, Sruthi Shankar and Khushi Singh (Reuters) -Britain's benchmark FTSE 100 stock index scored its third consecutive record high on Thursday, led by miner Anglo..."
AstraZeneca overtakes Shell as Britain’s most valuable company,25 Apr 2024,Proactive Investors - AstraZeneca PLC (LON:AZN)’s solid rally following Thursday’s first-quarter earnings print has made the pharmaceuticals giant Britain’s most...
AstraZeneca shares jump on much stronger Q1 top and bottom line,25 Apr 2024,AstraZeneca (NASDAQ:AZN) shares rose 5.1% in London trading Thursday after the drugmaker smashed analyst expectations for Q1 earnings and revenue.  The company posted earnings per...
"FTSE 100 Live: Index at record; Anglo American soars on BHP bid; Barclays, AstraZeneca up",25 Apr 2024,"Proactive Investors - FTSE 100 up 51 points to 8,092 BHP makes bid for Anglo American (JO:AGLJ) AstraZeneca (NASDAQ:AZN),  Unilever  (LON:ULVR) and  Barclays  (LON:BARC)..."
Morning Bid: Gearing up for the tech roller-coaster ride,25 Apr 2024, A look at the day ahead in European and global markets from Ankur Banerjee Tech stocks are yet again set to sway the wider markets after a lacklustre forecast from Facebook...
EU approves AstraZeneca's new PNH treatment,23 Apr 2024,LONDON - The European Commission has approved AstraZeneca (NASDAQ:AZN)'s Voydeya (danicopan) as an add-on treatment for adult patients with paroxysmal nocturnal hemoglobinuria...
"Lloyds, Sainsbury's and AstraZeneca feature as big names report: Week ahead",19 Apr 2024,"Proactive Investors - Company news dominates next week with the start of the bank's quarterly reporting season seeing updates from Lloyds, Natwest and  Barclays  (LON:BARC) with..."
AstraZeneca upgrade (of sorts) by leading investment bank,16 Apr 2024,Proactive Investors - AstraZeneca PLC (LON:AZN) has been upgraded by a leading investment bank following guidance on the company's dividend policy and a more positive earnings...
AstraZeneca CEO could earn 19 million pounds as pay measure clears opposition,12 Apr 2024, (Reuters) -AstraZeneca shareholders on Thursday approved a 2024 pay policy which will boost CEO Pascal Soriot's remuneration to as much as 18.9 million pounds ($23.7 million) this...
"FTSE 100 Live: Index nears record as miners, housebuilders rally; Gold surges",12 Apr 2024,"Proactive Investors - Blue-chip index tops 8,000   BP  (LON:BP) attracts takeover speculation UK economy grows 10.01am: Gold continues charge in record territory Gold prices..."
"Lok’nStore, AstraZeneca, Darktrace, Distil, European Metals, XPS Pensions, Mast Energy – Stocks on the move",11 Apr 2024,"Proactive Investors - Lok'nStore Group PLC (AIM:LOK) shares traded around 17% higher in Thursday’s early deals, to 1,128p, on the news it has agreed to be bought by Shurgard,..."
FDA grants accelerated approval to Enhertu for metastatic HER2-positive cancers,06 Apr 2024,WASHINGTON D.C. - The U.S. Food and Drug Administration (FDA) has granted accelerated approval to Enhertu for the treatment of adult patients with unresectable or metastatic...
Astrazeneca receives Investment Bank Analyst Rating Update,05 Apr 2024,
AstraZeneca's breast cancer treatment BLA gets FDA nod,02 Apr 2024,LONDON - AstraZeneca (NASDAQ:AZN) and Daiichi Sankyo have received U.S. Food and Drug Administration (FDA) acceptance for a Biologics License Application (BLA) for their drug...
AstraZeneca's Beyfortus gets approval in Japan for RSV prevention,27 Mar 2024,"TOKYO - AstraZeneca (NASDAQ:AZN), in partnership with   Sanofi  (EPA:SASY)  (NASDAQ:SNY), has announced that its long-acting monoclonal antibody, Beyfortus (nirsevimab), has..."
Japan approves AstraZeneca's Truqap for breast cancer treatment,27 Mar 2024,"TOKYO - AstraZeneca (NASDAQ:AZN)'s Truqap, in combination with Faslodex, has received approval in Japan for the treatment of certain advanced breast cancers, marking a significant..."
Puma Biotech's lawsuit against AstraZeneca progresses,19 Mar 2024,"In a significant development, the legal battle between Puma Biotechnology Inc. (NASDAQ: NASDAQ:PBYI) and AstraZeneca (NASDAQ: NASDAQ:AZN) over alleged patent infringement has seen..."
"FTSE 100 Live: Stocks in the green, AstraZeneca buys Fusion, Unilever splits ice cream",19 Mar 2024,"Proactive Investors - Blue-chip index adds seven points to 7,729 AstraZeneca (NASDAQ:AZN) snaps up Fusion Pharma  Unilever  (LON:ULVR) splits out ice cream business  Pfizer ..."
Astrazeneca receives Investment Bank Analyst Rating Update,13 Mar 2024,
AstraZeneca to invest £650mln in UK life sciences,06 Mar 2024,Proactive Investors - Chancellor Jeremy Hunt also announced that British pharma giant AstraZeneca PLC (LON:AZN) plans to invest £650 million in UK life sciences. Under...
Silence Therapeutics receives $10M from AstraZeneca trial,23 Feb 2024,"LONDON - Silence Therapeutics plc (NASDAQ:SLN), a biotechnology firm specializing in RNA interference (RNAi) for disease treatment, announced today that it has received a $10..."
AstraZeneca receives Investment Bank Analyst Rating Update,20 Feb 2024,
Astrazeneca receives Investment Bank Analyst Rating Update,20 Feb 2024,
Astrazeneca receives Investment Bank Analyst Rating Update,20 Feb 2024,
AstraZeneca receives Investment Bank Analyst Rating Update,20 Feb 2024,
Astrazeneca receives Investment Bank Analyst Rating Update,20 Feb 2024,
Astrazeneca receives Investment Bank Analyst Rating Update,20 Feb 2024,
AstraZeneca receives Investment Bank Analyst Rating Update,20 Feb 2024,
AstraZeneca’s stock surges on FTSE 100 on Tagrisso approval,19 Feb 2024,"  AstraZeneca’s (LON: AZN) stock surged on the FTSE 100 index following the announcement of the approval of its lung-cancer drug Tagrisso, in combination with chemotherapy...."
AstraZeneca’s new lung cancer drugs to boost sales - UBS,19 Feb 2024,"Proactive Investors - AstraZeneca PLC (LON:AZN) is set to see a sales boost from new lung cancer treatments, according to UBS analysts, after the pharmaceuticals firm updated on..."
Astrazeneca receives Investment Bank Analyst Rating Update,15 Feb 2024,
"FTSE 100 lower, TUI questions London listing after record quarter",13 Feb 2024,"Proactive Investors - FTSE 100 down 16 points at 7,557. Unemployment beats expectations at 3.8% in December. TUI (LON:TUIT) questions London listing after record..."
Astrazeneca receives Investment Bank Analyst Rating Update,12 Feb 2024,
Astrazeneca receives Investment Bank Analyst Rating Update,09 Feb 2024,
FDA grants Fast Track to Ionis and AstraZeneca's ATTR-CM treatment,09 Feb 2024,"CARLSBAD, Calif. - Ionis Pharmaceuticals, Inc. (NASDAQ:IONS) and AstraZeneca (NASDAQ:AZN) have received Fast Track designation from the U.S. Food and Drug Administration (FDA) for..."
European shares edge lower as healthcare losses overpower earnings-fuelled rally,08 Feb 2024," By Shristi Achar A and Shashwat Chauhan (Reuters) -European shares ended marginally lower on Thursday, as losses in healthcare heavyweights offset gains spurred by strong..."
"Deutsche Bank cuts AstraZeneca to sell, lowers target to £95",08 Feb 2024,"On Thursday,  Deutsche Bank  (ETR:DBKGn) issued a downgrade for pharmaceutical giant AstraZeneca (NASDAQ:AZN), listed on the London Stock Exchange (AZN:LN) and NASDAQ (NASDAQ:AZN),..."
FTSE 100 concede gains as AstraZeneca slides on earnings miss,08 Feb 2024,"Proactive Investors - FTSE 100 down 7 points at 7,621  Unilever  (LON:ULVR), BAT (LON:BATS), Compass rise after updates DS Smith climbs after Mondi (LON:MNDI) approach AstraZeneca..."
Astrazeneca receives Investment Bank Analyst Rating Update,08 Feb 2024,
AstraZeneca sees £2.8bn knocked off its value amid cost concerns,08 Feb 2024,"Proactive Investors - AstraZeneca PLC (LON:AZN) shares fell 1.8%, wiping £2.8 billion from the value of the business, as lingering concerns on the drug maker's cost base..."
SOPHiA GENETICS expands ovarian cancer testing in Spain,07 Feb 2024,"BOSTON, ROLLE, Switzerland, and MADRID - SOPHiA GENETICS (NASDAQ: SOPH), in collaboration with AstraZeneca (NASDAQ:AZN) Spain, announced today an expansion of their program to..."
London midday: Stocks stay up as sterling falls on weak retail sales,19 Jan 2024,"Sharecast - The FTSE 100 was up 0.4% at 7,491.24, while sterling was down 0.2% against the dollar at 1.2686. A weaker pound tends to lift the top-flight index, as around 70% of its..."
Astrazeneca receives Investment Bank Analyst Rating Update,16 Jan 2024,
AstraZeneca: Leading bank bullish after key conference appearance,15 Jan 2024,Proactive Investors - JP Morgan has maintained its bullish stance on AstraZeneca PLC (LON:AZN) in the wake of the San Francisco healthcare conference it sponsors. Repeating its...
FTSE 100 Live: Stocks fade as birthday celebrations fall flat,03 Jan 2024,"Proactive Investors - FTSE 100 down 40 points at 7,682 Food price inflation falls to 6.7% in December - Kantar Entain (LON:ENT) appoints activist investor to board Will Fed minutes..."
Astrazeneca receives Investment Bank Analyst Rating Update,03 Jan 2024,
Astrazeneca receives Investment Bank Analyst Rating Update,26 Dec 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,26 Dec 2023,
"Lloyds, AstraZeneca, BATs, Rolls-Royce: What's on the menu for 2024?",19 Dec 2023,"Proactive Investors - For investors, the focus in 2024 will be on navigating a year expected to be split into distinct halves. That, at least, is the conclusion of Liberum, the..."
Astrazeneca receives Investment Bank Analyst Rating Update,19 Dec 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,19 Dec 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,15 Dec 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,15 Dec 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,13 Dec 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,13 Dec 2023,
AstraZeneca boosts RSV profile with US$1.1bn Icosavax deal,12 Dec 2023,Proactive Investors - AstraZeneca PLC (LON:AZN) has bought US biopharmaceutical company Icosavax Inc for up to US$1.1 billion. The Anglo-Swedish drug maker said the deal will build...
AstraZeneca and the world according to GARP,06 Dec 2023,"Proactive Investors - AstraZeneca PLC (LON:AZN), the Anglo-Swedish pharmaceutical giant, stands as a quintessential example of a 'Growth at a Reasonable Price' (GARP) investment..."
Astrazeneca receives Investment Bank Analyst Rating Update,05 Dec 2023,
AstraZeneca ends two Phase III trials due to enrollment issues,04 Dec 2023,"AstraZeneca (NASDAQ:AZN) announced the termination of two significant Phase III trials, STABILIZE-CKD and DIALIZE-Outcomes, from its CRYSTALIZE programme. The decision was made due..."
AstraZeneca halts Phase III trials for kidney disease treatment,01 Dec 2023,"AstraZeneca (NASDAQ:AZN) plc has announced the discontinuation of its Phase III STABILIZE-CKD and DIALIZE-Outcomes trials, which were investigating treatments for chronic kidney..."
Abbvie's $10bn swoop puts the spotlight on antibody-drug conjugates stocks,01 Dec 2023,Proactive Investors -  AbbVie Inc  (NYSE:ABBV) has announced the acquisition of  ImmunoGen  (NASDAQ:IMGN) for $10.1 billion in cash - a deal that takes into the world of...
AstraZeneca discontinues phase III trials,01 Dec 2023,"Proactive Investors - AstraZeneca PLC (LON:AZN) has announced the discontinuation of two phase III trials, STABILIZE-CKD and DIALIZE-Outcomes, for its drug Lokelma (sodium..."
Astrazeneca receives Investment Bank Analyst Rating Update,28 Nov 2023,
FTSE 100 movers: Entain hit by downgrade; Rightmove rallies,27 Nov 2023,"Sharecast - Ladbrokes and Coral owner Entain (LON:ENT) was knocked lower by a downgrade to ‘sell’ from ‘buy’ at Goldman Sachs (NYSE:GS). ""We now believe the..."
"Barclays updates FTSE stock targets, AstraZeneca and Admiral rise",27 Nov 2023,"LONDON -  Barclays  (LON:BARC) has made a series of recalibrations to its price targets on a range of FTSE-listed stocks, reflecting a mix of optimism and caution in its latest..."
AstraZeneca: Leading bank tells us why the stock is a core holding,20 Nov 2023,"Proactive Investors -  Barclays  (LON:BARC) Capital has issued an optimistic assessment of AstraZeneca PLC (LON:AZN)'s shares, recommending an 'overweight' position with a target..."
UK stocks rally on rate cut hopes and AstraZeneca's drug approval,17 Nov 2023,"LONDON - UK stocks rebounded on Friday, with the FTSE 100 and FTSE 250 indices climbing by 1.1% and 1.3% respectively, as investor sentiment improved on the back of economic data..."
AstraZeneca's Imfinzi misses primary endpoint in Phase III lung cancer trial,14 Nov 2023,"CAMBRIDGE, UK - AstraZeneca (NASDAQ:AZN) has announced that its recent PACIFIC-2 Phase III trial, which tested the efficacy of Imfinzi in combination with platinum-based..."
Investigating AstraZeneca's Standing In Pharmaceuticals Industry Compared To Competitors,13 Nov 2023,"Benzinga - by Benzinga Insights, Benzinga Staff Writer. In the dynamic and cutthroat world of business, conducting thorough company analysis is essential for investors and industry..."
FTSE 250 is lagging the blue-chip FTSE 100 index in 2023,10 Nov 2023,  UK stocks are severely lagging their American counterparts as concerns about the British economy continue. The mid-cap FTSE 250 index has slipped by 5% this year while the...
AstraZeneca's Imfinzi shows promise in liver cancer treatment,09 Nov 2023,"AstraZeneca (NASDAQ:AZN)'s immunotherapy drug, Imfinzi (durvalumab), has shown significant improvements in progression-free survival (PFS) for liver cancer patients eligible for..."
"London open: FTSE little changed after China data, earnings avalanche",09 Nov 2023,"Sharecast - At 0920 GMT, the FTSE 100 was down 0.1% at 7,393.06. Figures released earlier by the National Bureau of Statistics showed that China fell back into deflationary..."
AstraZeneca raises annual profit forecast as China's CPI contracts,09 Nov 2023,"In recent financial news, AstraZeneca (NASDAQ:AZN) has raised its annual core profit forecast amidst high demand for oncology and rare blood disorder drugs. The company reported a..."
"AstraZeneca reports, Li Auto earnings, Tapestry: 3 things to watch",08 Nov 2023,"Investing.com -- Stocks wobbled for much of the day on Wednesday, struggling to keep a multi-day rally going as investors continued to absorb earnings reports. Investors also have..."
S&P 500 companies gear up for third-quarter reports amid economic indicators,06 Nov 2023,"Investors are set to navigate a busy week as numerous S&P 500 companies, including BioNTech (NASDAQ:BNTX), Constellation Energy,   Celanese   (NYSE:CE), Vertex Pharmaceuticals..."
Barclays and AstraZeneca up staff pay as Real Living Wage increases,24 Oct 2023,Proactive Investors - Employers that pay staff the Real Living Wage (RLW) will have to find an extra 10% after it was increased to £12 in the UK and £13.10 in London on...
"FTSE 100 Dips as Fresnillo Leads Losses, Flutter Entertainment Tops Gainers",23 Oct 2023,"The FTSE 100 Index UKX closed lower on Monday, slipping by 0.37% to settle at 7,374.83 points. The decline was led by precious metals company   Fresnillo   PLC (LSE:LON:FRES),..."
"LumiraDx surges after partnering with AstraZeneca, Everton on England's first heart and lung screening hub",23 Oct 2023,Small-cap LumiraDx Ltd (NASDAQ:LMDX) surged 280% in early trading Monday after announcing a deal late Friday with major pharmaceutical player AstraZeneca (NASDAQ:AZN) and Everton...
AstraZeneca gains European approval for lung cancer drug,23 Oct 2023,"Proactive Investors - AstraZeneca PLC (LON:AZN) has announced that its jointly developed lung cancer drug has been approved for use in the European Union. Enhertu, which has been..."
AstraZeneca shares fall as lung cancer drug trial data abstract disappoints,18 Oct 2023, (Reuters) -Shares in AstraZeneca (NASDAQ:AZN) fell more than 4% on Wednesday after a data abstract on its experimental precision drug's use in lung cancer patients in a late-stage...
AstraZeneca leads FTSE fallers for no obvious reason,18 Oct 2023,"Proactive Investors - AstraZeneca PLC (LON:AZN) shares were the biggest fallers on the FTSE 100 on Wednesday, down 3.6%, with no obvious reason for the sell-off. News and broker..."
London midday: Stocks gain on commodities boost,16 Oct 2023,"Sharecast - The FTSE 100 was up 0.4% at 7,633.24. CMC Markets analyst Michael Hewson said: ""On the data front it’s a big week for the UK with the latest inflation and wages..."
"London midday: Stocks extend gains after UK GDP, ahead of US CPI",12 Oct 2023,"Sharecast - The FTSE 100 was up 0.8% at 7,680.06. Sentiment got a boost after a China’s sovereign wealth fund Central Huijin Investment bought shares in some of the..."
AstraZeneca receives Investment Bank Analyst Rating Update,30 Sept 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,30 Sept 2023,
AstraZeneca growth opportunities 'overlooked' - Jefferies,25 Sept 2023,"Jefferies upgraded shares of AstraZeneca (LON:AZN) to Buy from Hold, lifting the price target to 13,000p per share, up from 10,500p in a note Monday. Analysts told investors in a..."
Astrazeneca receives Investment Bank Analyst Rating Update,25 Sept 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,25 Sept 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,25 Sept 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,25 Sept 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,25 Sept 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,23 Sept 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,23 Sept 2023,
"JPMorgan advocates for energy stocks, anticipates supply-demand gap post-2025",22 Sept 2023,"JPMorgan (NYSE:JPM) has recently upgraded its rating on global energy stocks from Neutral to Overweight, predicting a supply-demand gap after 2025 and improving sector..."
AstraZeneca signals strong results from breast cancer drug trial,22 Sept 2023,Proactive Investors - AstraZeneca PLC (NASDAQ:AZN) has hailed strong results from an ongoing trial on the effects of drug datopotamab deruxtecan in breast cancer...
"London midday: Markets ""calm"" ahead of Fed and BoE meetings",19 Sept 2023,"Sharecast - ""This will be the last day of relative calm in markets, ahead of two days packed with big central bank action,"" said FX strategist Francesco Pesole at ING Bank. The UK..."
EU regulator backs AstraZeneca and Daiichi's lung cancer drug (Sept. 15),18 Sept 2023," (Corrects Sept. 15 story to say Enhertu showed objective response rate of 49%, not reduced tumour by 49%, in paragraph 2) (Reuters) -AstraZeneca said on Friday its and Daiichi..."
"GSK opens new site in UK, unlike rival AstraZeneca",14 Sept 2023,Proactive Investors - GSK PLC (LON:GSK) has opened a new £65 million drug factory in Hertfordshire in a move it said would enable rapid production of medicines developed...
AstraZeneca bounces back from reports that CEO Soriot is eyeing exit,12 Sept 2023,"Proactive Investors - Shares in AstraZeneca PLC (LON:AZN) have bounced back after falling on a report that chief executive Pascal Soriot is looking to step down, possibly as soon..."
AstraZeneca seeks to calm CEO speculation after shares drop,11 Sept 2023, By Maggie Fick LONDON (Reuters) -AstraZeneca appeared to play down speculation about the future of its CEO after its shares fell more than 4% on Monday following a British tabloid...
AstraZeneca's Tagrisso-chemo combo results raise bar for J&J cancer drug-analysts,11 Sept 2023, By Maggie Fick LONDON (Reuters) - Data released on Monday by AstraZeneca (NASDAQ:AZN) from a late-stage trial combining its blockbuster cancer drug Tagrisso with chemotherapy to...
"More AstraZeneca drugs to be added to US IRA list, Barclays predicts",31 Aug 2023,Proactive Investors - AstraZeneca PLC (NASDAQ:AZN) faces several negative headwinds for US sales of some of its drugs from the new Inflation Reduction Act's rules on negotiated...
AstraZeneca facing two London lawsuits over COVID-19 vaccines,23 Aug 2023," By Sam Tobin LONDON (Reuters) - AstraZeneca (NASDAQ:AZN) is facing two London lawsuits, including one from the husband of a woman who died after receiving the Anglo-Swedish..."
"European shares sink to lowest in six weeks, China woes loom large",18 Aug 2023," By Shashwat Chauhan and Ankika Biswas (Reuters) -European shares sank to their lowest level in six weeks on Friday, dragged down by financials and healthcare as concern over..."
Astrazeneca receives Investment Bank Analyst Rating Update,07 Aug 2023,
AstraZeneca number show how it is 'not a one-trick pony' - analyst,28 Jul 2023,"Proactive Investors - AstraZeneca PLC's underlying quarterly performance shows it is ""far from a one-trick pony"" and its share price premium over peers is entirely warranted,..."
AstraZeneca receives Investment Bank Analyst Rating Update,14 Jul 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,14 Jul 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,13 Jul 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,12 Jul 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,05 Jul 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,04 Jul 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,04 Jul 2023,
"Asian stocks struggle amid economic jitters, Nikkei slides",04 Jul 2023,"Investing.com -- Most Asian stocks moved in a flat-to-low range on Tuesday as a string of weak data prints from major economies dented risk appetite, with Japanese stocks falling..."
AstraZeneca shares dip after lung cancer drug trial update 'disappoints' hopes,03 Jul 2023,"Investing.com -- AstraZeneca (LON:AZN) has announced that its experimental precision drug has shown improvement in slowing the progression of lung cancer in a late-stage trial,..."
AstraZeneca receives Investment Bank Analyst Rating Update,27 Jun 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,27 Jun 2023,
Novo Nordisk says EMA raised safety signal on drugs including semaglutide,22 Jun 2023, By Nikolaj Skydsgaard COPENHAGEN (Reuters) -A thyroid cancer safety signal was raised by the EU's drugs watchdog last month over several  Novo Nordisk  (CSE:NOVOb) products...
AstraZeneca receives Investment Bank Analyst Rating Update,21 Jun 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,21 Jun 2023,
AstraZeneca places US$85mln bet on autoimmune cell therapy with Quell deal,09 Jun 2023,Proactive Investors - AstraZeneca PLC (LON:AZN) is placing an US$85mln bet on the autoimmune cell therapy sector with Quell Therapeutics - its latest licensing partner. As well as...
AstraZeneca receives Investment Bank Analyst Rating Update,07 Jun 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,07 Jun 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,06 Jun 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,06 Jun 2023,
AstraZeneca gets another US approval for Lynparza,01 Jun 2023,Sharecast - The FTSE 100 pharmaceuticals giant said the approval was based on a subgroup analysis conducted during the phase three ‘PROpel’ trial. It said the analysis...
Astrazeneca receives Investment Bank Analyst Rating Update,30 May 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,30 May 2023,
AstraZeneca hails the findings from cancer combination trial,26 May 2023,Proactive Investors - AstraZeneca PLC (LON:AZN) has hailed the potential of a highly targeted combination of its own drugs with chemotherapy in the battle against endometrial...
AstraZeneca reports positive results in latest lung cancer trials,17 May 2023,Sharecast - The FTSE 100 pharmaceuticals giant said the combination had the potential to significantly improve progression-free survival (PFS) in patients with locally-advanced or...
Astrazeneca receives Investment Bank Analyst Rating Update,09 May 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,30 Apr 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,30 Apr 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,30 Apr 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,28 Apr 2023,
"Drugmakers scout for deals, ramp up research spending",28 Apr 2023," By Manas Mishra and Patrick Wingrove (Reuters) - Drugmakers including Merck & Co, AstraZeneca (NASDAQ:AZN) Plc and  AbbVie Inc  (NYSE:ABBV) said on Thursday they are open to..."
AstraZeneca beats estimates on strong emerging market sales as COVID wanes,27 Apr 2023," By Natalie Grover and Maggie Fick LONDON (Reuters) -AstraZeneca on Thursday beat expectations for first-quarter profit and revenue, as buoyant sales of cancer treatment Imfinzi..."
Europe midday: Shares muted ahead of flash US GDP data,27 Apr 2023,Sharecast - The pan-regional Stoxx 600 index was up 0.07% with major bourses mixed. Investors are also eyeing preliminary US GDP estimates. ‘’Investors are waiting for...
"FTSE 100 holds around opening levels, Barclays rises after strong results",27 Apr 2023,"Proactive Investors - FTSE 100 see saws around opening levels Barclays rises after results beat forecasts AstraZeneca, Unilever firm after upbeat trading Flutter names former..."
Europe open: Shares flat amid earnings deluge; SimCorp surges on bid,27 Apr 2023,Sharecast - The pan-regional Stoxx 600 index barely moved the needle in early trade. Investors are also eyeing preliminary US GDP estimates. ‘’Investors are waiting for...
London open: Stocks steady amid corporate deluge,27 Apr 2023,"Sharecast - At 0855 BST, the FTSE 100 was flat at 7,852.05, as market participants eyed the release of US GDP and initial jobless claims later in the day. Susannah Streeter, head..."
"European stocks mixed; results from Barclays, Deutsche Bank in focus",27 Apr 2023,"Investing.com - European stock markets traded in a mixed fashion Thursday, as investors digested a deluge of corporate earnings, with the banking sector in particular focus. At..."
"FTSE 100 resilient, Barclays and Unilever rise on upbeat trading",27 Apr 2023,"Proactive Investors - FTSE 100 see saws around opening levels Barclays rises after results beat forecasts AstraZeneca, Unilever firm after upbeat trading AstraZeneca rises after..."
